date,report_org_code,org_code,activity,activity_short,state,township,beneficiaries,new_beneficiaries
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,96,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Maungdaw,1374,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Maungdaw,97,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,110,110
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,13,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,77,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,4,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Maungdaw,501,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,247,247
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,17,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,844,844
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,8,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,12,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,17,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,2569,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,266,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,1486,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,82,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,702,702
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,49,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,303,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,10,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,377,377
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,35,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,258,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,16,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,1447,1447
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,91,0
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,484,484
2022-03-01,org_2254,org_2254,"food distributions (in kind/voucher/cash), moderate",food distribution,Rakhine,Buthidaung,16,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Maungdaw,367,367
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Buthidaung,111,111
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Buthidaung,397,0
2022-02-01,org_2254,org_2254,"provision of crop, vegetable and seed kits","crop, vegetable and seed kits",Rakhine,Buthidaung,33,0
2022-03-01,org_2254,org_2254,food/cash for work/assets,food_cash for work_assets,Rakhine,Buthidaung,42,0
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Namtu,26,26
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Muse,101,0
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Namtu,1,1
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Namtu,29,0
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Namtu,13,0
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Namtu,3,3
2022-04-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Kutkai,5,0
2022-05-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Kutkai,7,7
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Kutkai,7,0
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Muse,10,10
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Muse,1,0
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Namtu,21,21
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Namtu,1,1
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Muse,7,0
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Namtu,15,15
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Namtu,1,1
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Namtu,1,1
2022-06-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Shan (North),Namtu,1,1
2022-04-01,org_9632,org_9632,livelihoods vocational training,vocational training,Rakhine,Sittwe,60,60
2022-04-01,org_9632,org_9632,livelihoods vocational training,vocational training,Rakhine,Sittwe,10,10
2022-04-01,org_9632,org_9632,livelihoods vocational training,vocational training,Rakhine,Sittwe,5,0
2022-04-01,org_9632,org_9632,livelihoods vocational training,vocational training,Rakhine,Sittwe,10,10
2022-04-01,org_9632,org_9632,livelihoods vocational training,vocational training,Rakhine,Sittwe,60,0
2022-04-01,org_9632,org_9632,livelihoods vocational training,vocational training,Rakhine,Sittwe,10,10
2022-04-01,org_9632,org_9632,livelihoods vocational training,vocational training,Rakhine,Sittwe,25,25
2022-04-01,org_9632,org_9632,income-generating activities and small grants,IGA and small grants,Rakhine,Maungdaw,43,0
2022-04-01,org_9632,org_9632,income-generating activities and small grants,IGA and small grants,Rakhine,Maungdaw,14,0
2022-04-01,org_9632,org_9632,income-generating activities and small grants,IGA and small grants,Rakhine,Maungdaw,36,36
2022-04-01,org_9632,org_9632,income-generating activities and small grants,IGA and small grants,Rakhine,Maungdaw,38,0
2022-04-01,org_9632,org_9632,income-generating activities and small grants,IGA and small grants,Rakhine,Maungdaw,5,0
2022-04-01,org_9632,org_9632,income-generating activities and small grants,IGA and small grants,Rakhine,Maungdaw,18,0
2022-04-01,org_9632,org_9632,income-generating activities and small grants,IGA and small grants,Rakhine,Maungdaw,25,0
2022-04-01,org_9632,org_9632,income-generating activities and small grants,IGA and small grants,Rakhine,Maungdaw,30,0
2022-04-01,org_9632,org_9632,income-generating activities and small grants,IGA and small grants,Rakhine,Maungdaw,6,0
2022-04-01,org_9632,org_9632,income-generating activities and small grants,IGA and small grants,Rakhine,Maungdaw,6,0
2022-05-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), severe",multi-purpose cash transfer,Rakhine,Maungdaw,32,0
2022-05-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), severe",multi-purpose cash transfer,Rakhine,Maungdaw,6,0
2022-05-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), severe",multi-purpose cash transfer,Rakhine,Maungdaw,12,0
2022-05-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), severe",multi-purpose cash transfer,Rakhine,Maungdaw,16,16
2022-05-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), severe",multi-purpose cash transfer,Rakhine,Maungdaw,2,0
2022-05-01,org_9632,org_9632,"multi-purpose cash transfer (MPC), severe",multi-purpose cash transfer,Rakhine,Maungdaw,5,0
2022-06-01,org_9632,org_9632,provision of community infrastructure and equipment,community infrastructure and equipment,Rakhine,Maungdaw,19,0
2022-06-01,org_9632,org_9632,provision of community infrastructure and equipment,community infrastructure and equipment,Rakhine,Maungdaw,9,0
2022-06-01,org_9632,org_9632,provision of community infrastructure and equipment,community infrastructure and equipment,Rakhine,Maungdaw,14,0
2022-06-01,org_9632,org_9632,provision of community infrastructure and equipment,community infrastructure and equipment,Rakhine,Maungdaw,3,3
2022-06-01,org_9632,org_9632,provision of community infrastructure and equipment,community infrastructure and equipment,Rakhine,Maungdaw,1,1
2022-06-01,org_9632,org_9632,provision of community infrastructure and equipment,community infrastructure and equipment,Rakhine,Maungdaw,12,12
2022-06-01,org_9632,org_9632,provision of community infrastructure and equipment,community infrastructure and equipment,Rakhine,Maungdaw,6,0
2022-06-01,org_9632,org_9632,provision of community infrastructure and equipment,community infrastructure and equipment,Rakhine,Maungdaw,2,2
2022-06-01,org_9632,org_9632,provision of community infrastructure and equipment,community infrastructure and equipment,Rakhine,Maungdaw,9,9
2022-04-01,org_5911,org_5911,"food distributions (in kind/voucher/cash), severe",food distribution,Kachin,Waingmaw,4879,0
2022-04-01,org_5911,org_5911,"food distributions (in kind/voucher/cash), severe",food distribution,Kachin,Momauk,3024,0
2022-04-01,org_3536,org_5604,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Mrauk-U,3355,0
2022-04-01,org_3536,org_5604,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Mrauk-U,544,544
2022-04-01,org_3536,org_5604,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Minbya,194,194
2022-04-01,org_3536,org_5604,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Minbya,157,0
2022-04-01,org_3536,org_4155,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Myebon,12,12
2022-04-01,org_3536,org_4155,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Myebon,160,160
2022-04-01,org_3536,org_4155,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Myebon,47,47
2022-04-01,org_3536,org_4155,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Myebon,192,0
2022-04-01,org_3536,org_4155,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Myebon,143,143
2022-04-01,org_3536,org_4155,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Myebon,51,0
2022-04-01,org_3536,org_4155,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Myebon,95,0
2022-04-01,org_3536,org_3486,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Maungdaw,1523,1523
2022-04-01,org_3536,org_3486,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Maungdaw,154,0
2022-04-01,org_3536,org_3486,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Maungdaw,153,0
2022-05-01,org_3536,org_3486,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Rakhine,Rathedaung,1065,1065
2022-04-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (East),140,0
2022-04-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (East),120,0
2022-04-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (East),30,0
2022-04-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (East),170,170
2022-04-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (West),160,0
2022-04-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (West),160,0
2022-04-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (West),140,0
2022-04-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (West),130,0
2022-05-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (East),140,0
2022-05-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (East),120,0
2022-05-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (East),30,0
2022-05-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (East),170,0
2022-05-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (West),160,0
2022-05-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (West),160,0
2022-05-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (West),140,0
2022-05-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (West),130,0
2022-06-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (East),140,0
2022-06-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (East),120,0
2022-06-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (East),30,0
2022-06-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (East),170,0
2022-06-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (West),160,0
2022-06-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (West),160,0
2022-06-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (West),140,0
2022-06-01,org_3877,org_8556,"food distributions (in kind/voucher/cash), severe",food distribution,Yangon,Hlaingtharya (West),130,0
2022-01-01,org_3422,org_7226,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,75,0
2022-03-01,org_3422,org_7226,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,75,0
2022-01-01,org_3422,org_7226,"food distributions (in kind/voucher/cash), moderate",food distribution,Yangon,Shwepyithar,125,0
2022-02-01,org_3422,org_7226,"food distributions (in kind/voucher/cash), moderate",food distribution,Yangon,Shwepyithar,125,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,23,23
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,11,11
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,4,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,55,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,25,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,16,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,8,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,4,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,2,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,39,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,29,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,4,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,2,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,8,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,10,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,4,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,1,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,5,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,5,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,33,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,10,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,8,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,10,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,1,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,11,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,2,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,5,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,2,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,6,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,4,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,3,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,3,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,1,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,1,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,1,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,3,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,1,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,4,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,1,0
2022-01-01,org_3422,org_7002,"multi-purpose cash transfer (MPC), moderate",multi-purpose cash transfer,Yangon,Shwepyithar,4,0
